contract_id,lane_calc,rating_zone,from_loccode,from_city,from_state,from_zip,from_country,to_loccode,to_city,to_state,to_zip,to_country,scac,service,mode,break_1_field,break_1_min,break_1_max,break_2_field,break_2_min,break_2_max,rate_field,rate_calc,rate,accessorial1_field,accessorial1_calc,accessorial1_rate,total_min,total_max,max_stops,transit_method,transit_value
Este LTL Car,CTRY-CTRY,,,,,,US,,,,,US,EXLA,Standard,LTL,Mileage,1500.1,6000,Weight,10000,19999,Weight C,Per,38.038,,,,390.39,,,,
IM UPS Parcel,LOC-CTRY,2,IMATL,,,,US,,,,,US,IUPS,Standard,Parcel,Mileage,0,300,Weight,0,150,Weight LBS,Per,0.3,,,,22,100000,9,,
IM UPS Parcel,LOC-CTRY,2,IMDEN,,,,US,,,,,US,IUPS,Standard,Parcel,Mileage,0,300,Weight,0,150,Weight LBS,Per,0.3,,,,22,100000,9,,
IM UPS Parcel,LOC-CTRY,2,IMDTW,,,,US,,,,,US,IUPS,Standard,Parcel,Mileage,0,300,Weight,0,150,Weight LBS,Per,0.3,,,,22,100000,9,,
IM UPS Parcel,LOC-CTRY,2,IMDPA,,,,US,,,,,US,IUPS,Standard,Parcel,Mileage,0,300,Weight,0,150,Weight LBS,Per,0.3,,,,22,100000,9,,
IM UPS Parcel,LOC-CTRY,2,IMMTNV,,,,US,,,,,US,IUPS,Standard,Parcel,Mileage,0,300,Weight,0,150,Weight LBS,Per,0.3,,,,22,100000,9,,
IM SF Express Co Ltd,CTRY-CTRY,,,,,,CN,,,,,CN,SFEX,Standard,Truckload,Weight,0,48000,,,,Mileage,Flat,1.25,,,,300,100000,9,,
IM SF Express Co Ltd,CTRY-CTRY,,,,,,CN,,,,,CN,SFEX,Standard,Truckload,Weight,0,48000,,,,Mileage,Flat,1.25,,,,300,100000,9,,
SF Express Co Ltd,CTRY-CTRY,,,,,,CN,,,,,CN,SFEX,Standard,Truckload,Weight,0,48000,,,,Mileage,Flat,1.25,,,,300,,,,
NYK Ocean,LOC-LOC,,CNNGBO,,,,CN,USSEA,,,,US,INYK,Standard,Ocean,,,,,,,Flat,Flat,440,,,,440,,,,
FF Expeditors,CTRY-CTRY,,,,,,CN,,,,,US,INYK,Standard,Ocean,,,,,,,Flat,Flat,12000,,,,440,,,,
Seattle Drayage exp 2018,LOC-LOC,,USSEA,,,,US,LOC412,,,,US,IDAL,Standard,Drayage,Weight,0,48000,,,,Flat,Flat,250,,,,250,,,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,0,100,Weight,0,499,Weight C,Per,2.5,,,,68.07,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,0,100,Weight,500,999,Weight C,Per,3,,,,85.09,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,0,100,Weight,1000,1999,Weight C,Per,3.5,,,,220.22,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,0,100,Weight,2000,4999,Weight C,Per,4,,,,350.35,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,0,100,Weight,5000,9999,Weight C,Per,4.5,,,,350.35,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,0,100,Weight,10000,19999,Weight C,Per,5,,,,350.35,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,100.1,300,Weight,0,499,Weight C,Per,2.5,,,,70.07,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,100.1,300,Weight,500,999,Weight C,Per,3,,,,90.09,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,100.1,300,Weight,1000,1999,Weight C,Per,3.5,,,,240.24,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,100.1,300,Weight,2000,4999,Weight C,Per,4,,,,370.37,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,100.1,300,Weight,5000,9999,Weight C,Per,4.5,,,,370.37,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,100.1,300,Weight,10000,19999,Weight C,Per,5,,,,370.37,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,300.1,6000,Weight,0,499,Weight C,Per,3,,,,72.07,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,300.1,6000,Weight,500,999,Weight C,Per,3.5,,,,92.09,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,300.1,6000,Weight,1000,1999,Weight C,Per,4,,,,255.26,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,300.1,6000,Weight,2000,4999,Weight C,Per,4.5,,,,390.39,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,300.1,6000,Weight,5000,9999,Weight C,Per,5,,,,390.39,,1,,
Vitran,LOC-CTRY,,LOC416,,,,US,,,,,CA,VTRN,Standard,LTL,Mileage,300.1,6000,Weight,10000,19999,Weight C,Per,5.5,,,,390.39,,1,,
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,1,1.9999,,,,,Flat,11.76,,,,11.76,11.76,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,2,2.9999,,,,,Flat,12.5,,,,12.5,12.5,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,3,3.9999,,,,,Flat,12.51,,,,12.51,12.51,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,4,4.9999,,,,,Flat,12.54,,,,12.54,12.54,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,5,5.9999,,,,,Flat,12.56,,,,12.56,12.56,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,6,6.9999,,,,,Flat,12.75,,,,12.75,12.75,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,7,7.9999,,,,,Flat,13.24,,,,13.24,13.24,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,8,8.9999,,,,,Flat,13.79,,,,13.79,13.79,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,9,9.9999,,,,,Flat,14.06,,,,14.06,14.06,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,10,10.9999,,,,,Flat,14.65,,,,14.65,14.65,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,11,11.9999,,,,,Flat,15.35,,,,15.35,15.35,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,12,12.9999,,,,,Flat,15.81,,,,15.81,15.81,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,13,13.9999,,,,,Flat,16.07,,,,16.07,16.07,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,14,14.9999,,,,,Flat,16.45,,,,16.45,16.45,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,15,15.9999,,,,,Flat,16.86,,,,16.86,16.86,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,16,16.9999,,,,,Flat,17.3,,,,17.3,17.3,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,17,17.9999,,,,,Flat,18.17,,,,18.17,18.17,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,18,18.9999,,,,,Flat,18.47,,,,18.47,18.47,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,19,19.9999,,,,,Flat,18.87,,,,18.87,18.87,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,20,20.9999,,,,,Flat,19.19,,,,19.19,19.19,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,21,21.9999,,,,,Flat,19.5,,,,19.5,19.5,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,22,22.9999,,,,,Flat,19.93,,,,19.93,19.93,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,23,23.9999,,,,,Flat,20.15,,,,20.15,20.15,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,24,24.9999,,,,,Flat,20.55,,,,20.55,20.55,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,25,25.9999,,,,,Flat,21.5,,,,21.5,21.5,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,26,26.9999,,,,,Flat,23.79,,,,23.79,23.79,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,27,27.9999,,,,,Flat,25.65,,,,25.65,25.65,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,28,28.9999,,,,,Flat,26.59,,,,26.59,26.59,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,29,29.9999,,,,,Flat,27.37,,,,27.37,27.37,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,30,30.9999,,,,,Flat,28.17,,,,28.17,28.17,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,31,31.9999,,,,,Flat,29.16,,,,29.16,29.16,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,32,32.9999,,,,,Flat,29.65,,,,29.65,29.65,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,33,33.9999,,,,,Flat,30.05,,,,30.05,30.05,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,34,34.9999,,,,,Flat,30.43,,,,30.43,30.43,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,35,35.9999,,,,,Flat,30.76,,,,30.76,30.76,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,36,36.9999,,,,,Flat,31.59,,,,31.59,31.59,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,37,37.9999,,,,,Flat,32.54,,,,32.54,32.54,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,38,38.9999,,,,,Flat,33.19,,,,33.19,33.19,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,39,39.9999,,,,,Flat,33.88,,,,33.88,33.88,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,40,40.9999,,,,,Flat,34.27,,,,34.27,34.27,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,41,41.9999,,,,,Flat,34.57,,,,34.57,34.57,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,42,42.9999,,,,,Flat,34.85,,,,34.85,34.85,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,43,43.9999,,,,,Flat,35.23,,,,35.23,35.23,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,44,44.9999,,,,,Flat,35.47,,,,35.47,35.47,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,45,45.9999,,,,,Flat,35.75,,,,35.75,35.75,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,46,46.9999,,,,,Flat,36.13,,,,36.13,36.13,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,47,47.9999,,,,,Flat,36.42,,,,36.42,36.42,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,48,48.9999,,,,,Flat,36.81,,,,36.81,36.81,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,49,49.9999,,,,,Flat,37.13,,,,37.13,37.13,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,50,50.9999,,,,,Flat,37.34,,,,37.34,37.34,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,51,51.9999,,,,,Flat,37.91,,,,37.91,37.91,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,52,52.9999,,,,,Flat,38.51,,,,38.51,38.51,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,53,53.9999,,,,,Flat,39.18,,,,39.18,39.18,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,54,54.9999,,,,,Flat,39.71,,,,39.71,39.71,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,55,55.9999,,,,,Flat,40.21,,,,40.21,40.21,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,56,56.9999,,,,,Flat,40.47,,,,40.47,40.47,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,57,57.9999,,,,,Flat,40.59,,,,40.59,40.59,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,58,58.9999,,,,,Flat,41.24,,,,41.24,41.24,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,59,59.9999,,,,,Flat,41.83,,,,41.83,41.83,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,60,60.9999,,,,,Flat,42.4,,,,42.4,42.4,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,61,61.9999,,,,,Flat,43.04,,,,43.04,43.04,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,62,62.9999,,,,,Flat,43.48,,,,43.48,43.48,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,63,63.9999,,,,,Flat,44.33,,,,44.33,44.33,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,64,64.9999,,,,,Flat,44.73,,,,44.73,44.73,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,65,65.9999,,,,,Flat,45.36,,,,45.36,45.36,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,66,66.9999,,,,,Flat,45.93,,,,45.93,45.93,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,67,67.9999,,,,,Flat,46.65,,,,46.65,46.65,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,68,68.9999,,,,,Flat,47.22,,,,47.22,47.22,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,69,69.9999,,,,,Flat,47.87,,,,47.87,47.87,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,70,70.9999,,,,,Flat,48.39,,,,48.39,48.39,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,71,71.9999,,,,,Flat,50.82,,,,50.82,50.82,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,72,72.9999,,,,,Flat,51.6,,,,51.6,51.6,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,73,73.9999,,,,,Flat,52.49,,,,52.49,52.49,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,74,74.9999,,,,,Flat,54.9,,,,54.9,54.9,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,75,75.9999,,,,,Flat,56.89,,,,56.89,56.89,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,76,76.9999,,,,,Flat,59.06,,,,59.06,59.06,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,77,77.9999,,,,,Flat,61.32,,,,61.32,61.32,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,78,78.9999,,,,,Flat,63.21,,,,63.21,63.21,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,79,79.9999,,,,,Flat,65.43,,,,65.43,65.43,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,80,80.9999,,,,,Flat,67.2,,,,67.2,67.2,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,81,81.9999,,,,,Flat,68.75,,,,68.75,68.75,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,82,82.9999,,,,,Flat,71,,,,71,71,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,83,83.9999,,,,,Flat,73.02,,,,73.02,73.02,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,84,84.9999,,,,,Flat,75.24,,,,75.24,75.24,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,85,85.9999,,,,,Flat,77.26,,,,77.26,77.26,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,86,86.9999,,,,,Flat,79.41,,,,79.41,79.41,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,87,87.9999,,,,,Flat,81.66,,,,81.66,81.66,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,88,88.9999,,,,,Flat,84.25,,,,84.25,84.25,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,89,89.9999,,,,,Flat,87.19,,,,87.19,87.19,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,90,90.9999,,,,,Flat,90,,,,90,90,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,91,91.9999,,,,,Flat,90.02,,,,90.02,90.02,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,92,92.9999,,,,,Flat,90.12,,,,90.12,90.12,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,93,93.9999,,,,,Flat,92.22,,,,92.22,92.22,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,94,94.9999,,,,,Flat,94.38,,,,94.38,94.38,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,95,95.9999,,,,,Flat,96.52,,,,96.52,96.52,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,96,96.9999,,,,,Flat,98.59,,,,98.59,98.59,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,97,97.9999,,,,,Flat,100.77,,,,100.77,100.77,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,98,98.9999,,,,,Flat,102.98,,,,102.98,102.98,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,99,99.9999,,,,,Flat,105.2,,,,105.2,105.2,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,100,100.9999,,,,,Flat,107.09,,,,107.09,107.09,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,101,101.9999,,,,,Flat,108.87,,,,108.87,108.87,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,102,102.9999,,,,,Flat,109.94,,,,109.94,109.94,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,103,103.9999,,,,,Flat,111.79,,,,111.79,111.79,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,104,104.9999,,,,,Flat,113.56,,,,113.56,113.56,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,105,105.9999,,,,,Flat,115.37,,,,115.37,115.37,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,106,106.9999,,,,,Flat,117.18,,,,117.18,117.18,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,107,107.9999,,,,,Flat,118.84,,,,118.84,118.84,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,108,108.9999,,,,,Flat,120.5,,,,120.5,120.5,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,109,109.9999,,,,,Flat,122.2,,,,122.2,122.2,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,110,110.9999,,,,,Flat,123.66,,,,123.66,123.66,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,111,111.9999,,,,,Flat,125,,,,125,125,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,112,112.9999,,,,,Flat,126.3,,,,126.3,126.3,1,Service Days,2
UPSGND,ZONE,2,,,,,US,,,,,US,UPS,Standard,Parcel,Weight,113,113.9999,,,,,Flat,127.48,,,,127.48,127.48,1,Service Days,2
